City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,riyadh,24.6877,46.7219,20.08,42,7,4.03,SA,1670288117
160,cherskiy,68.75,161.3,-22.54,88,100,2.65,RU,1670288239
161,kodiak,57.79,-152.4072,3.56,93,85,2.23,US,1670288240
162,nome,64.5011,-165.4064,-0.96,81,75,8.75,US,1670287868
163,dicabisagan,17.0818,122.4157,26.12,85,64,3.3,PH,1670288241
164,lorengau,-2.0226,147.2712,27.25,82,99,2.66,PG,1670288241
165,hamburg,53.55,10.0,4.53,98,75,1.03,DE,1670287605
166,beyneu,45.3167,55.2,-6.36,75,100,3.57,KZ,1670288242
167,kingman,35.1894,-114.053,12.51,67,100,1.34,US,1670288125
168,portland,45.5234,-122.6762,5.85,83,20,3.09,US,1670287798
169,iranshahr,27.2025,60.6848,14.19,41,0,0.0,IR,1670288243
170,pisco,-13.7,-76.2167,19.45,82,0,5.66,PE,1670288243
171,lavrentiya,65.5833,-171.0,-1.65,95,100,14.33,RU,1670288244
172,pacific grove,36.6177,-121.9166,13.7,85,0,3.58,US,1670288244
173,buala,-8.145,159.5921,28.6,76,71,2.68,SB,1670288244
174,ilinskiy,55.619,38.1182,-9.81,85,0,3.0,RU,1670288245
175,torbat-e jam,35.244,60.6225,-2.37,76,10,0.71,IR,1670288245
176,krasnoselkup,65.7,82.4667,-11.14,94,100,5.64,RU,1670288246
177,pozo colorado,-23.4923,-58.7972,27.01,54,99,2.53,PY,1670288246
178,eregli,37.5133,34.0467,3.6,75,99,0.08,TR,1670288247
179,dukat,62.55,155.55,-26.49,97,100,1.94,RU,1670288247
180,aswan,24.0934,32.907,15.61,63,0,3.6,EG,1670288195
181,francavilla al mare,42.4206,14.287,13.88,76,75,0.51,IT,1670288248
182,sabha,27.0377,14.4283,18.82,22,0,4.94,LY,1670288249
183,black river,18.0264,-77.8487,23.08,75,0,3.69,JM,1670288249
184,namibe,-15.1961,12.1522,19.99,84,100,3.07,AO,1670288250
185,kijang,35.2442,129.2139,0.85,42,0,2.82,KR,1670288250
186,kavaratti,10.5669,72.642,27.56,69,91,1.48,IN,1670288250
187,terrace bay,48.7834,-87.1,-13.04,86,97,4.22,CA,1670288251
